timestamp_ms,state,event,queue_depth,s0_pos,s1_pos,s2_pos,servo0_angle,tune_string,tune_attempt,measured_hz,target_hz,tune_servo_angle,note_index,note_string
1589,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1590,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1592,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1593,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1594,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1595,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1596,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1597,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1598,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1599,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1601,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1602,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1603,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1604,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1605,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1606,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1607,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1608,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1609,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1611,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1612,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1613,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1614,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1615,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1616,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1618,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1619,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1620,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1621,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1622,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1623,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1624,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1625,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1627,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1628,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1629,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1630,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1631,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1632,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1634,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1635,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1636,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1637,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1638,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1639,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1640,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1641,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1643,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1644,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1645,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1646,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1647,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1648,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1649,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1651,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1652,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1653,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1654,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1655,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1656,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1657,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1658,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1660,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1661,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1662,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1663,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1664,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1665,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1666,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1667,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1669,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1670,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1671,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1672,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1673,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1674,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1675,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1677,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1678,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1679,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1680,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1681,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1682,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1683,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1684,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1686,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1687,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1688,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1689,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1690,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1691,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1692,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1693,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1694,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1696,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1697,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1698,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1699,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1700,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1701,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1702,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1703,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1705,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1706,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1707,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1708,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1709,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1710,TUNING,TUNE_SAMPLE,0,,,,,1,0,247.62,246.90,90.0,,
1710,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1711,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1713,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1714,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1715,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1716,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1717,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1718,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1719,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1721,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1722,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1723,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1724,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1725,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1726,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1728,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1729,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1730,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1731,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1732,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1733,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1734,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1735,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1737,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1738,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1739,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1740,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1741,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1742,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1743,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1744,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1746,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1747,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1748,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1749,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1750,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1751,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1752,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1754,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1755,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1756,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1757,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
